id,meal_id,food_name,servings,nutrition_info
1,1,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
2,1,Chips 1oz,1,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
3,1,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
4,2,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
5,2,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
6,3,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
7,3,Rice Krispie,1,"{""fats"": 2, ""carbs"": 17, ""calories"": 90, ""proteins"": 0}"
8,3,Cereal Bar,1,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
9,3,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
10,3,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
11,3,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
12,4,McChicken,2,"{""fats"": 21, ""carbs"": 39, ""calories"": 400, ""proteins"": 14}"
13,4,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
14,5,Ramen,1,"{""fats"": 14, ""carbs"": 54, ""calories"": 370, ""proteins"": 8}"
15,5,Chips 1oz,1,"{""fats"": 10, ""carbs"": 15, ""calories"": 160, ""proteins"": 2}"
16,5,Protein Powder,2,"{""fats"": 2, ""carbs"": 3, ""calories"": 120, ""proteins"": 24}"
17,6,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
18,6,Spicy Garlic,1,"{""fats"": 6, ""carbs"": 3, ""calories"": 70, ""proteins"": 1}"
19,7,Fruit Snacks,1,"{""fats"": 0, ""carbs"": 17, ""calories"": 70, ""proteins"": 1}"
20,7,Rice Krispie,1,"{""fats"": 2, ""carbs"": 17, ""calories"": 90, ""proteins"": 0}"
21,7,Cereal Bar,1,"{""fats"": 3, ""carbs"": 24, ""calories"": 130, ""proteins"": 1}"
22,7,Rice,1,"{""fats"": 1, ""carbs"": 45, ""calories"": 206, ""proteins"": 4}"
