,id,date_id,body_measurements
0,1,1,"{""body_fat"": 28.1, ""fat_mass"": 55.0, ""body_weight"": 195, ""muscle_mass"": 76.1, ""workout_type"": ""BACK""}"
1,2,2,"{""body_fat"": 24.5, ""fat_mass"": 48.1, ""body_weight"": 196, ""muscle_mass"": 81.0, ""workout_type"": ""REST""}"
2,3,3,"{""body_fat"": 25.1, ""fat_mass"": 49.3, ""body_weight"": 196, ""muscle_mass"": 80.3, ""workout_type"": ""REST""}"
3,4,4,"{""body_fat"": 25.9, ""fat_mass"": 49.9, ""body_weight"": 193, ""muscle_mass"": 77.8, ""workout_type"": ""LEGS""}"
4,5,5,"{""body_fat"": 25.5, ""fat_mass"": 49.4, ""body_weight"": 194, ""muscle_mass"": 78.7, ""workout_type"": ""REST""}"
5,6,6,"{""body_fat"": 26.2, ""fat_mass"": 50.5, ""body_weight"": 193, ""muscle_mass"": 77.5, ""workout_type"": ""CHST""}"
6,7,7,"{""body_fat"": 26.1, ""fat_mass"": 51.5, ""body_weight"": 197, ""muscle_mass"": 79.5, ""workout_type"": ""REST""}"
7,8,9,"{""body_fat"": 24.3, ""fat_mass"": 47.4, ""body_weight"": 194, ""muscle_mass"": 80.6, ""workout_type"": ""REST""}"
8,9,10,"{""body_fat"": 24.3, ""fat_mass"": 47.4, ""body_weight"": 194, ""muscle_mass"": 80.6, ""workout_type"": ""SHDR""}"
9,10,11,"{""body_fat"": 24.1, ""fat_mass"": 46.8, ""body_weight"": 194, ""muscle_mass"": 80.8, ""workout_type"": ""REST""}"
10,11,12,"{""body_fat"": 23.9, ""fat_mass"": 45.9, ""body_weight"": 192, ""muscle_mass"": 80.1, ""workout_type"": ""REST""}"
11,12,13,"{""body_fat"": 24.6, ""fat_mass"": 47.2, ""body_weight"": 192, ""muscle_mass"": 79.0, ""workout_type"": ""LEGS""}"
12,13,15,"{""body_fat"": 25.4, ""fat_mass"": 49.1, ""body_weight"": 193.0, ""muscle_mass"": 78.4, ""workout_type"": ""LEGS""}"
14,14,16,"{""body_fat"": 25.6, ""fat_mass"": 50.2, ""body_weight"": 196.2, ""muscle_mass"": 79.6, ""workout_type"": ""REST""}"
