id,date_id,meal
1,1,Breakfast
2,1,Lunch
3,1,Dinner
4,1,Post-Workout
5,2,Breakfast
6,2,Lunch
7,2,Dinner
8,2,Post-Workout
9,3,Breakfast
10,3,Lunch
11,3,Dinner
12,3,Post-Workout
13,4,Breakfast
14,4,Lunch
15,4,Dinner
16,4,Post-Workout
17,5,Breakfast
18,5,Lunch
19,5,Dinner
20,5,Post-Workout
21,6,Breakfast
22,6,Lunch
23,6,Dinner
24,6,Post-Workout
25,7,Breakfast
26,7,Lunch
27,7,Dinner
28,7,Post-Workout
29,8,Breakfast
30,8,Lunch
31,8,Dinner
32,8,Post-Workout
33,9,Breakfast
34,9,Lunch
35,9,Dinner
36,9,Post-Workout
37,10,Breakfast
38,10,Lunch
39,10,Dinner
40,10,Post-Workout
41,11,Breakfast
42,11,Lunch
43,11,Dinner
44,11,Post-Workout
45,12,Breakfast
46,12,Lunch
47,12,Dinner
48,12,Post-Workout
49,13,Breakfast
50,13,Lunch
51,13,Dinner
52,13,Post-Workout
69,14,Breakfast
70,14,Lunch
71,14,Dinner
72,14,Post-Workout
73,15,Breakfast
74,15,Lunch
75,15,Dinner
76,15,Post-Workout
77,16,Breakfast
78,16,Lunch
79,16,Dinner
80,16,Post-Workout
81,17,Breakfast
82,17,Lunch
83,17,Dinner
84,17,Post-Workout
85,18,Breakfast
86,18,Lunch
87,18,Dinner
88,18,Post-Workout
89,19,Breakfast
90,19,Lunch
91,19,Dinner
92,19,Post-Workout
93,20,Breakfast
94,20,Lunch
95,20,Dinner
96,20,Post-Workout
97,21,Breakfast
98,21,Lunch
99,21,Dinner
100,21,Post-Workout
101,22,Breakfast
102,22,Lunch
103,22,Dinner
104,22,Post-Workout
105,23,Breakfast
106,23,Lunch
107,23,Dinner
108,23,Post-Workout
109,24,Breakfast
110,24,Lunch
111,24,Dinner
112,24,Post-Workout
113,25,Breakfast
114,25,Lunch
115,25,Dinner
116,25,Post-Workout
117,26,Breakfast
118,26,Lunch
119,26,Dinner
120,26,Post-Workout
121,27,Breakfast
122,27,Lunch
123,27,Dinner
124,27,Post-Workout
125,28,Breakfast
126,28,Lunch
127,28,Dinner
128,28,Post-Workout
129,29,Breakfast
130,29,Lunch
131,29,Dinner
132,29,Post-Workout
133,30,Breakfast
134,30,Lunch
135,30,Dinner
136,30,Post-Workout
141,31,Breakfast
142,31,Lunch
143,31,Dinner
144,31,Post-Workout
145,32,Breakfast
146,32,Lunch
147,32,Dinner
148,32,Post-Workout
